iter	Passed	Remaining
0	65	65222
1	73	36915
2	83	27588
3	91	22896
4	101	20107
5	110	18224
6	118	16874
7	127	15800
8	135	14963
9	144	14294
10	152	13698
11	161	13256
12	169	12858
13	177	12477
14	186	12247
15	195	12000
16	203	11769
17	212	11573
18	221	11423
19	228	11190
20	237	11069
21	246	10960
22	255	10837
23	263	10716
24	272	10613
25	280	10521
26	288	10400
27	296	10299
28	305	10212
29	312	10112
30	320	10025
31	327	9915
32	336	9861
33	345	9827
34	353	9756
35	360	9662
36	368	9601
37	376	9526
38	383	9443
39	391	9384
40	398	9321
41	405	9253
42	413	9192
43	420	9142
44	427	9075
45	434	9020
46	441	8952
47	449	8909
48	475	9220
49	485	9224
50	495	9228
51	503	9173
52	510	9118
53	517	9073
54	525	9029
55	532	8981
56	540	8945
57	548	8903
58	555	8863
59	564	8840
60	571	8796
61	579	8763
62	586	8728
63	594	8695
64	602	8661
65	610	8632
66	617	8597
67	624	8560
68	631	8523
69	638	8485
70	646	8454
71	653	8420
72	660	8383
73	667	8353
74	674	8319
75	682	8293
76	689	8264
77	696	8232
78	703	8199
79	710	8173
80	718	8146
81	725	8124
82	733	8099
83	740	8070
84	747	8045
85	754	8015
86	761	7989
87	768	7968
88	775	7938
89	783	7917
90	790	7895
91	798	7881
92	805	7856
93	814	7845
94	821	7823
95	828	7806
96	836	7782
97	844	7770
98	851	7749
99	859	7732
100	866	7709
101	873	7691
102	881	7676
103	888	7657
104	896	7640
105	903	7620
106	910	7602
107	917	7580
108	925	7561
109	932	7545
110	939	7526
111	946	7506
112	954	7489
113	962	7478
114	969	7461
115	977	7445
116	985	7435
117	993	7423
118	1000	7406
119	1007	7388
120	1014	7370
121	1022	7358
122	1029	7341
123	1036	7324
124	1043	7306
125	1051	7290
126	1058	7272
127	1065	7256
128	1071	7237
129	1079	7222
130	1086	7208
131	1094	7200
132	1102	7189
133	1110	7178
134	1118	7168
135	1126	7156
136	1133	7141
137	1141	7130
138	1148	7113
139	1155	7100
140	1162	7081
141	1169	7068
142	1177	7056
143	1184	7041
144	1191	7026
145	1198	7009
146	1205	6996
147	1212	6982
148	1220	6968
149	1227	6956
150	1235	6947
151	1243	6938
152	1251	6930
153	1260	6926
154	1268	6913
155	1275	6902
156	1284	6896
157	1291	6884
158	1299	6874
159	1308	6867
160	1315	6856
161	1323	6846
162	1331	6837
163	1339	6828
164	1348	6822
165	1356	6812
166	1364	6803
167	1371	6793
168	1379	6782
169	1387	6774
170	1394	6761
171	1402	6749
172	1408	6734
173	1416	6723
174	1423	6710
175	1431	6700
176	1438	6687
177	1445	6674
178	1453	6665
179	1460	6651
180	1467	6641
181	1474	6629
182	1482	6619
183	1490	6609
184	1497	6597
185	1504	6585
186	1511	6572
187	1519	6562
188	1526	6551
189	1534	6542
190	1541	6530
191	1549	6520
192	1556	6509
193	1564	6501
194	1572	6490
195	1579	6480
196	1586	6468
197	1593	6456
198	1601	6446
199	1608	6435
200	1616	6424
201	1623	6412
202	1630	6401
203	1637	6390
204	1645	6380
205	1652	6369
206	1660	6359
207	1667	6349
208	1674	6337
209	1682	6328
210	1690	6320
211	1697	6310
212	1705	6299
213	1712	6289
214	1719	6279
215	1726	6266
216	1733	6256
217	1740	6244
218	1748	6235
219	1755	6223
220	1762	6213
221	1770	6204
222	1777	6193
223	1785	6183
224	1792	6172
225	1799	6162
226	1806	6150
227	1813	6140
228	1821	6131
229	1828	6123
230	1836	6112
231	1843	6103
232	1850	6093
233	1858	6082
234	1865	6073
235	1872	6062
236	1880	6053
237	1887	6042
238	1894	6033
239	1901	6022
240	1909	6013
241	1916	6004
242	1924	5993
243	1931	5985
244	1939	5975
245	1946	5965
246	1953	5955
247	1961	5946
248	1968	5937
249	1976	5928
250	1983	5920
251	1991	5909
252	1998	5901
253	2005	5891
254	2013	5883
255	2020	5872
256	2028	5863
257	2035	5854
258	2042	5844
259	2050	5835
260	2057	5825
261	2064	5816
262	2071	5806
263	2079	5797
264	2086	5787
265	2093	5777
266	2101	5768
267	2108	5759
268	2116	5750
269	2123	5740
270	2130	5731
271	2138	5723
272	2145	5713
273	2152	5703
274	2159	5693
275	2167	5684
276	2174	5674
277	2181	5666
278	2188	5656
279	2196	5647
280	2203	5638
281	2210	5628
282	2217	5618
283	2225	5610
284	2232	5601
285	2240	5593
286	2247	5584
287	2254	5574
288	2262	5565
289	2269	5555
290	2276	5546
291	2284	5538
292	2291	5530
293	2299	5520
294	2306	5511
295	2314	5504
296	2322	5496
297	2329	5487
298	2336	5476
299	2343	5467
300	2350	5459
301	2358	5450
302	2365	5441
303	2373	5433
304	2380	5425
305	2388	5416
306	2395	5407
307	2403	5399
308	2410	5390
309	2417	5381
310	2424	5372
311	2432	5363
312	2439	5354
313	2446	5345
314	2454	5337
315	2461	5328
316	2468	5319
317	2476	5310
318	2483	5300
319	2490	5292
320	2497	5283
321	2504	5274
322	2512	5265
323	2519	5255
324	2526	5247
325	2533	5238
326	2541	5230
327	2547	5220
328	2555	5211
329	2562	5203
330	2570	5194
331	2577	5186
332	2584	5176
333	2592	5168
334	2599	5159
335	2606	5151
336	2613	5142
337	2621	5133
338	2628	5125
339	2635	5116
340	2643	5108
341	2650	5100
342	2658	5091
343	2665	5082
344	2672	5074
345	2679	5065
346	2687	5057
347	2694	5048
348	2701	5039
349	2709	5031
350	2716	5022
351	2723	5014
352	2731	5006
353	2738	4997
354	2746	4989
355	2753	4980
356	2761	4973
357	2768	4964
358	2776	4956
359	2783	4948
360	2790	4939
361	2797	4930
362	2805	4922
363	2811	4913
364	2819	4905
365	2827	4897
366	2834	4889
367	2842	4881
368	2849	4873
369	2857	4864
370	2863	4855
371	2871	4846
372	2878	4837
373	2885	4829
374	2892	4820
375	2899	4812
376	2907	4804
377	2914	4795
378	2921	4787
379	2928	4778
380	2936	4770
381	2942	4761
382	2950	4753
383	2957	4744
384	2964	4735
385	2971	4726
386	2978	4718
387	2985	4709
388	2992	4700
389	3000	4692
390	3007	4684
391	3014	4675
392	3021	4667
393	3028	4658
394	3036	4650
395	3043	4641
396	3050	4633
397	3057	4625
398	3065	4617
399	3072	4608
400	3080	4601
401	3088	4594
402	3095	4586
403	3103	4578
404	3110	4569
405	3117	4560
406	3124	4552
407	3132	4544
408	3139	4536
409	3146	4528
410	3154	4520
