iter	Passed	Remaining
0	5	5502
1	13	6745
2	16	5616
3	20	5100
4	22	4431
5	28	4788
6	31	4429
7	33	4126
8	35	3892
9	38	3838
10	47	4252
11	51	4234
12	52	4022
13	60	4244
14	64	4249
15	67	4139
16	68	3965
17	73	4026
18	77	4002
19	81	3977
20	82	3857
21	86	3826
22	105	4491
23	109	4440
24	113	4431
25	115	4314
26	116	4205
27	118	4111
28	120	4021
29	121	3943
30	127	3999
31	134	4082
32	136	3996
33	137	3915
34	152	4202
35	159	4258
36	161	4191
37	165	4184
38	169	4186
39	172	4139
40	174	4080
41	176	4028
42	180	4020
43	182	3963
44	191	4057
45	193	4014
46	195	3963
47	203	4038
48	205	3985
49	208	3967
50	213	3974
51	220	4020
52	223	3991
53	225	3946
54	229	3949
55	231	3910
56	235	3902
57	239	3891
58	243	3890
59	246	3867
60	251	3877
61	255	3868
62	257	3824
63	258	3781
64	261	3761
65	263	3728
66	267	3727
67	273	3743
68	275	3715
69	283	3759
70	288	3775
71	289	3737
72	291	3701
73	294	3685
74	298	3684
75	300	3655
76	305	3664
77	307	3638
78	309	3613
79	314	3613
80	316	3585
81	319	3574
82	320	3544
83	322	3514
84	329	3548
85	332	3535
86	336	3529
87	339	3520
88	341	3492
89	342	3465
90	345	3455
91	350	3459
92	353	3446
93	355	3427
94	359	3421
95	361	3402
96	363	3384
97	366	3370
98	368	3353
99	376	3387
100	378	3368
101	381	3358
102	385	3354
103	394	3401
104	397	3384
105	399	3366
106	402	3360
107	404	3340
108	413	3382
109	415	3363
110	421	3377
111	428	3395
112	432	3392
113	436	3394
114	445	3425
115	446	3404
116	448	3383
117	452	3382
118	459	3400
119	469	3439
120	471	3427
121	483	3480
122	486	3465
123	494	3493
124	497	3481
125	499	3465
126	502	3452
127	504	3439
128	509	3439
129	515	3446
130	517	3429
131	519	3413
132	523	3411
133	525	3396
134	529	3391
135	531	3378
136	533	3362
137	536	3348
138	538	3333
139	542	3329
140	543	3312
141	548	3315
142	555	3327
143	562	3344
144	566	3342
145	570	3336
146	572	3321
147	577	3322
148	580	3315
149	582	3300
150	585	3292
151	587	3275
152	589	3266
153	591	3249
154	595	3247
155	601	3252
156	604	3243
157	606	3234
158	608	3220
159	611	3211
160	616	3210
161	621	3212
162	622	3196
163	624	3181
164	625	3166
165	627	3151
166	629	3142
167	631	3127
168	635	3124
169	638	3117
170	642	3115
171	647	3116
172	651	3112
173	652	3099
174	656	3095
175	658	3082
176	660	3070
177	661	3056
178	668	3064
179	671	3058
180	673	3049
181	676	3039
182	678	3029
183	688	3052
184	690	3042
185	692	3030
186	695	3021
187	696	3008
188	697	2994
189	703	2998
190	706	2991
191	711	2994
192	713	2985
193	715	2972
194	720	2974
195	726	2980
196	732	2983
197	733	2972
198	737	2967
199	745	2983
200	747	2973
201	749	2959
202	751	2950
203	760	2966
204	763	2962
205	768	2962
206	776	2973
207	780	2970
208	789	2988
209	792	2981
210	795	2974
211	797	2966
212	803	2967
213	810	2975
214	813	2969
215	825	2995
216	840	3031
217	844	3030
218	846	3019
219	853	3026
220	858	3026
221	860	3015
222	862	3005
223	864	2996
